"#Some of the genomic variants, genes, nucleic acid sequences, or genomic regions on this list, and their use in specific applications, may be protected by patents.  Customers are advised to determine whether they are required to obtain licenses from the party that owns or controls such patents in order to use the product in Customer's specific application.  Unless expressly stated otherwise in writing by Illumina, Customer, and not Illumina, is solely responsible for obtaining such licenses."""					
#Project ID: 119538					
#Project Name: TS_Cancer_V2_Beta					
#Manifest Type: Regions					
#Target Region Count: 1895					
[Header]					
Manifest Version	2				
ReferenceGenome	C:\Illumina\MiSeq Reporter\Genomes\Homo_sapiens\UCSC\hg19\Sequence\WholeGenomeFASTA				
[Regions]					
Name	Chromosome	Start	End	Upstream Probe Length	Downstream Probe Length
KIF1B.chr1.10292367.10292512	chr1	10292367	10292512	0	0
KIF1B.chr1.10316285.10316401	chr1	10316285	10316401	0	0
KIF1B.chr1.10318531.10318750	chr1	10318531	10318750	0	0
KIF1B.chr1.10321943.10322048	chr1	10321943	10322048	0	0
KIF1B.chr1.10327418.10327636	chr1	10327418	10327636	0	0
KIF1B.chr1.10328190.10328341	chr1	10328190	10328341	0	0
KIF1B.chr1.10331540.10331657	chr1	10331540	10331657	0	0
KIF1B.chr1.10332279.10332384	chr1	10332279	10332384	0	0
KIF1B.chr1.10333052.10333108	chr1	10333052	10333108	0	0
KIF1B.chr1.10335466.10335581	chr1	10335466	10335581	0	0
KIF1B.chr1.10336359.10336477	chr1	10336359	10336477	0	0
KIF1B.chr1.10338024.10338206	chr1	10338024	10338206	0	0
KIF1B.chr1.10339134.10339217	chr1	10339134	10339217	0	0
KIF1B.chr1.10342438.10342611	chr1	10342438	10342611	0	0
KIF1B.chr1.10351120.10351239	chr1	10351120	10351239	0	0
KIF1B.chr1.10352085.10352200	chr1	10352085	10352200	0	0
KIF1B.chr1.10355124.10355243	chr1	10355124	10355243	0	0
KIF1B.chr1.10355698.10355844	chr1	10355698	10355844	0	0
KIF1B.chr1.10356620.10356743	chr1	10356620	10356743	0	0
KIF1B.chr1.10356935.10357155	chr1	10356935	10357155	0	0
KIF1B.chr1.10357212.10357324	chr1	10357212	10357324	0	0
KIF1B.chr1.10363201.10364722	chr1	10363201	10364722	0	0
KIF1B.chr1.10380081.10380214	chr1	10380081	10380214	0	0
KIF1B.chr1.10381747.10381935	chr1	10381747	10381935	0	0
KIF1B.chr1.10383922.10384140	chr1	10383922	10384140	0	0
KIF1B.chr1.10384796.10384973	chr1	10384796	10384973	0	0
KIF1B.chr1.10386149.10386437	chr1	10386149	10386437	0	0
KIF1B.chr1.10394558.10394716	chr1	10394558	10394716	0	0
KIF1B.chr1.10396695.10396820	chr1	10396695	10396820	0	0
KIF1B.chr1.10397112.10397281	chr1	10397112	10397281	0	0
KIF1B.chr1.10397409.10397611	chr1	10397409	10397611	0	0
KIF1B.chr1.10399807.10399937	chr1	10399807	10399937	0	0
KIF1B.chr1.10402088.10402246	chr1	10402088	10402246	0	0
KIF1B.chr1.10403270.10403365	chr1	10403270	10403365	0	0
KIF1B.chr1.10405883.10406031	chr1	10405883	10406031	0	0
KIF1B.chr1.10407799.10407905	chr1	10407799	10407905	0	0
KIF1B.chr1.10408687.10408811	chr1	10408687	10408811	0	0
KIF1B.chr1.10412669.10412814	chr1	10412669	10412814	0	0
KIF1B.chr1.10420967.10421121	chr1	10420967	10421121	0	0
KIF1B.chr1.10421730.10421903	chr1	10421730	10421903	0	0
KIF1B.chr1.10423321.10423422	chr1	10423321	10423422	0	0
KIF1B.chr1.10425138.10425323	chr1	10425138	10425323	0	0
KIF1B.chr1.10425447.10425726	chr1	10425447	10425726	0	0
KIF1B.chr1.10428505.10428616	chr1	10428505	10428616	0	0
KIF1B.chr1.10431179.10431340	chr1	10431179	10431340	0	0
KIF1B.chr1.10434354.10434543	chr1	10434354	10434543	0	0
KIF1B.chr1.10434892.10435124	chr1	10434892	10435124	0	0
KIF1B.chr1.10435293.10435451	chr1	10435293	10435451	0	0
KIF1B.chr1.10436583.10436665	chr1	10436583	10436665	0	0
CTRC.chr1.15764941.15765020	chr1	15764941	15765020	0	0
CTRC.chr1.15766776.15766907	chr1	15766776	15766907	0	0
CTRC.chr1.15766969.15767106	chr1	15766969	15767106	0	0
CTRC.chr1.15768923.15769088	chr1	15768923	15769088	0	0
CTRC.chr1.15769894.15770070	chr1	15769894	15770070	0	0
CTRC.chr1.15771081.15771266	chr1	15771081	15771266	0	0
CTRC.chr1.15772072.15772264	chr1	15772072	15772264	0	0
CTRC.chr1.15773050.15773154	chr1	15773050	15773154	0	0
SDHB.chr1.17345356.17345473	chr1	17345356	17345473	0	0
SDHB.chr1.17349083.17349245	chr1	17349083	17349245	0	0
SDHB.chr1.17350448.17350589	chr1	17350448	17350589	0	0
SDHB.chr1.17354224.17354380	chr1	17354224	17354380	0	0
SDHB.chr1.17355075.17355251	chr1	17355075	17355251	0	0
SDHB.chr1.17359535.17359660	chr1	17359535	17359660	0	0
SDHB.chr1.17371236.17371403	chr1	17371236	17371403	0	0
SDHB.chr1.17380423.17380534	chr1	17380423	17380534	0	0
MUTYH.chr1.45794961.45795129	chr1	45794961	45795129	0	0
MUTYH.chr1.45796168.45796249	chr1	45796168	45796249	0	0
MUTYH.chr1.45796834.45797026	chr1	45796834	45797026	0	0
MUTYH.chr1.45797072.45797248	chr1	45797072	45797248	0	0
MUTYH.chr1.45797313.45797541	chr1	45797313	45797541	0	0
MUTYH.chr1.45797675.45797778	chr1	45797675	45797778	0	0
MUTYH.chr1.45797818.45798002	chr1	45797818	45798002	0	0
MUTYH.chr1.45798043.45798180	chr1	45798043	45798180	0	0
MUTYH.chr1.45798226.45798379	chr1	45798226	45798379	0	0
MUTYH.chr1.45798415.45798526	chr1	45798415	45798526	0	0
MUTYH.chr1.45798570.45798651	chr1	45798570	45798651	0	0
MUTYH.chr1.45798749.45798862	chr1	45798749	45798862	0	0
MUTYH.chr1.45798937.45799016	chr1	45798937	45799016	0	0
MUTYH.chr1.45799065.45799295	chr1	45799065	45799295	0	0
MUTYH.chr1.45800043.45800203	chr1	45800043	45800203	0	0
MUTYH.chr1.45805871.45805946	chr1	45805871	45805946	0	0
SDHC.chr1.161284176.161284235	chr1	161284176	161284235	0	0
SDHC.chr1.161293384.161293480	chr1	161293384	161293480	0	0
SDHC.chr1.161298166.161298307	chr1	161298166	161298307	0	0
SDHC.chr1.161310364.161310465	chr1	161310364	161310465	0	0
SDHC.chr1.161326447.161326650	chr1	161326447	161326650	0	0
SDHC.chr1.161332099.161332353	chr1	161332099	161332353	0	0
CDC73.chr1.193091311.193091481	chr1	193091311	193091481	0	0
CDC73.chr1.193094222.193094367	chr1	193094222	193094367	0	0
CDC73.chr1.193099284.193099393	chr1	193099284	193099393	0	0
CDC73.chr1.193104501.193104603	chr1	193104501	193104603	0	0
CDC73.chr1.193104647.193104739	chr1	193104647	193104739	0	0
CDC73.chr1.193107195.193107323	chr1	193107195	193107323	0	0
CDC73.chr1.193110960.193111216	chr1	193110960	193111216	0	0
CDC73.chr1.193116977.193117115	chr1	193116977	193117115	0	0
CDC73.chr1.193119414.193119532	chr1	193119414	193119532	0	0
CDC73.chr1.193121490.193121594	chr1	193121490	193121594	0	0
CDC73.chr1.193172905.193173002	chr1	193172905	193173002	0	0
CDC73.chr1.193181175.193181250	chr1	193181175	193181250	0	0
CDC73.chr1.193181500.193181627	chr1	193181500	193181627	0	0
CDC73.chr1.193202103.193202304	chr1	193202103	193202304	0	0
CDC73.chr1.193205366.193205506	chr1	193205366	193205506	0	0
CDC73.chr1.193218840.193219021	chr1	193218840	193219021	0	0
CDC73.chr1.193219786.193219859	chr1	193219786	193219859	0	0
FH.chr1.241661111.241661290	chr1	241661111	241661290	0	0
FH.chr1.241663717.241663910	chr1	241663717	241663910	0	0
FH.chr1.241665723.241665890	chr1	241665723	241665890	0	0
FH.chr1.241667322.241667565	chr1	241667322	241667565	0	0
FH.chr1.241669283.241669488	chr1	241669283	241669488	0	0
FH.chr1.241671883.241672105	chr1	241671883	241672105	0	0
FH.chr1.241675247.241675463	chr1	241675247	241675463	0	0
FH.chr1.241676883.241677033	chr1	241676883	241677033	0	0
FH.chr1.241680462.241680636	chr1	241680462	241680636	0	0
FH.chr1.241682871.241683042	chr1	241682871	241683042	0	0
